,Method,Samples,b,d,nmse
0,q-SFT,14640,1,5,0.7672732471422943
1,q-SFT,17520,1,6,0.7015521833542939
2,q-SFT,20400,1,7,0.706856510088009
3,q-SFT,23280,1,8,0.7136240814876224
4,q-SFT,26160,1,9,0.6305247867650897
5,q-SFT,29040,1,10,0.6445484823973571
6,q-SFT,31920,1,11,0.6067052529197466
7,q-SFT,34800,1,12,0.6747860937613781
8,q-SFT,37680,1,13,0.676498700941157
9,q-SFT,40560,1,14,0.6890826811098694
10,q-SFT,43440,1,15,0.6537324020241053
11,q-SFT,46320,1,16,0.688316963628536
12,q-SFT,49200,1,17,0.7038936144387901
13,q-SFT,52080,1,18,0.7087566907297806
14,q-SFT,54960,1,19,0.714501436479089
15,q-SFT,57840,1,20,0.7202155348064604
16,q-SFT,146400,2,5,0.5416659972015535
17,q-SFT,175200,2,6,0.5378775928206673
18,q-SFT,204000,2,7,0.5836562855341665
19,q-SFT,232800,2,8,0.53778214276447
20,q-SFT,261600,2,9,0.5736967689267022
21,q-SFT,290400,2,10,0.5985539344126553
22,q-SFT,319200,2,11,0.6021002354256089
23,q-SFT,348000,2,12,0.6044181113670521
24,q-SFT,376800,2,13,0.616316408751832
25,q-SFT,405600,2,14,0.6025007354526891
26,q-SFT,434400,2,15,0.5769729803078041
27,q-SFT,463200,2,16,0.5851812356978423
28,q-SFT,492000,2,17,0.5908710175769242
29,q-SFT,520800,2,18,0.6209503327354217
30,q-SFT,549600,2,19,0.6259153904844874
31,q-SFT,578400,2,20,0.6619972486121268
32,q-SFT,1952000,3,5,0.497745334666899
33,q-SFT,2336000,3,6,0.493124157955608
34,q-SFT,2720000,3,7,0.5451582209990024
35,q-SFT,3104000,3,8,0.531713199715032
36,q-SFT,3488000,3,9,0.5607791899347261
37,q-SFT,3872000,3,10,0.5334335708889957
38,q-SFT,4256000,3,11,0.5488719628023531
39,q-SFT,4640000,3,12,0.5497318686608095
40,q-SFT,5024000,3,13,0.5631080191763322
41,q-SFT,5408000,3,14,0.5475440430114404
42,q-SFT,5792000,3,15,0.5089475079649005
43,q-SFT,6176000,3,16,0.5239957037739713
44,q-SFT,6560000,3,17,0.5306243958171215
45,q-SFT,6944000,3,18,0.5356971716970371
46,q-SFT,7328000,3,19,0.5508423987375749
47,q-SFT,7712000,3,20,0.5562652381837745
48,GFast,6283,1,5,0.8297586393084164
49,GFast,7519,1,6,0.8660437972511283
50,GFast,8755,1,7,0.6213461366718588
51,GFast,9991,1,8,0.6331586256106734
52,GFast,11227,1,9,0.6438398586602128
53,GFast,12463,1,10,0.7839846170595792
54,GFast,13699,1,11,0.7942443064848745
55,GFast,14935,1,12,0.8014313268686593
56,GFast,16171,1,13,0.7294292529922282
57,GFast,17407,1,14,0.8063439184940208
58,GFast,18643,1,15,0.856537407053866
59,GFast,19879,1,16,0.7616336143928049
60,GFast,21115,1,17,0.721924970438068
61,GFast,22351,1,18,0.7681910107258098
62,GFast,23587,1,19,0.770326794266928
63,GFast,24823,1,20,0.7316516792548651
64,GFast,27633,2,5,0.6225056318170974
65,GFast,33069,2,6,0.7045784683323254
66,GFast,38505,2,7,0.5906309349107276
67,GFast,43941,2,8,0.6018698972407069
68,GFast,49377,2,9,0.6072513212852997
69,GFast,54813,2,10,0.6430202579523577
70,GFast,60249,2,11,0.6804536156412194
71,GFast,65685,2,12,0.6867302649846962
72,GFast,71121,2,13,0.7050845321159848
73,GFast,76557,2,14,0.7462178180148417
74,GFast,81993,2,15,0.7362148971176694
75,GFast,87429,2,16,0.6244298978499697
76,GFast,92865,2,17,0.5898327915647152
77,GFast,98301,2,18,0.594171646869937
78,GFast,103737,2,19,0.5945844365005263
79,GFast,109173,2,20,0.6282548531207344
80,GFast,161894,3,5,0.5795892315784822
81,GFast,193742,3,6,0.5619991529160072
82,GFast,225590,3,7,0.4379217397730109
83,GFast,257438,3,8,0.41555764131317113
84,GFast,289286,3,9,0.4287713544129116
85,GFast,321134,3,10,0.47902654039441517
86,GFast,352982,3,11,0.5057221882433383
87,GFast,384830,3,12,0.48319882263464614
88,GFast,416678,3,13,0.48572587214172713
89,GFast,448526,3,14,0.5214066278141761
90,GFast,480374,3,15,0.502977850491284
91,GFast,512222,3,16,0.5066874846755014
92,GFast,544070,3,17,0.4832838736064629
93,GFast,575918,3,18,0.4876172074036539
94,GFast,607766,3,19,0.48859179042171713
95,GFast,639614,3,20,0.49590122132249015
