,Method,Samples,b,d,nmse
0,q-SFT,14640,1,5,0.7665969198074424
1,q-SFT,17520,1,6,0.6901950109400963
2,q-SFT,20400,1,7,0.7081111026960641
3,q-SFT,23280,1,8,0.702487301567852
4,q-SFT,26160,1,9,0.6391497627339565
5,q-SFT,29040,1,10,0.652950198497216
6,q-SFT,31920,1,11,0.6098599923229645
7,q-SFT,34800,1,12,0.6680077247533167
8,q-SFT,37680,1,13,0.6710392656511448
9,q-SFT,40560,1,14,0.6828610014424585
10,q-SFT,43440,1,15,0.6483890107358027
11,q-SFT,46320,1,16,0.688145377677285
12,q-SFT,49200,1,17,0.7063461103353698
13,q-SFT,52080,1,18,0.7114101591734613
14,q-SFT,54960,1,19,0.7176692377759987
15,q-SFT,57840,1,20,0.723534661269531
16,q-SFT,146400,2,5,0.5358307101525062
17,q-SFT,175200,2,6,0.5383116529288633
18,q-SFT,204000,2,7,0.5891648932025746
19,q-SFT,232800,2,8,0.5486352313499682
20,q-SFT,261600,2,9,0.5783945982243234
21,q-SFT,290400,2,10,0.6050768464416668
22,q-SFT,319200,2,11,0.6039859581309808
23,q-SFT,348000,2,12,0.6119058576485662
24,q-SFT,376800,2,13,0.6243159146436247
25,q-SFT,405600,2,14,0.6099842935792624
26,q-SFT,434400,2,15,0.5831466254097415
27,q-SFT,463200,2,16,0.5918724359177289
28,q-SFT,492000,2,17,0.5977412645973383
29,q-SFT,520800,2,18,0.629782171898345
30,q-SFT,549600,2,19,0.6349172252232796
31,q-SFT,578400,2,20,0.6693054509264994
32,q-SFT,1952000,3,5,0.4902622545720352
33,q-SFT,2336000,3,6,0.491663609474563
34,q-SFT,2720000,3,7,0.5518810255588895
35,q-SFT,3104000,3,8,0.5280443650258783
36,q-SFT,3488000,3,9,0.5622785350734997
37,q-SFT,3872000,3,10,0.5348891408894015
38,q-SFT,4256000,3,11,0.5506383217036915
39,q-SFT,4640000,3,12,0.5511073088553896
40,q-SFT,5024000,3,13,0.5650676071137148
41,q-SFT,5408000,3,14,0.5496079330989762
42,q-SFT,5792000,3,15,0.510521908211919
43,q-SFT,6176000,3,16,0.526468404856167
44,q-SFT,6560000,3,17,0.5324931306815072
45,q-SFT,6944000,3,18,0.538647155466048
46,q-SFT,7328000,3,19,0.5543196078155509
47,q-SFT,7712000,3,20,0.5596052824314166
48,GFast,6283,1,5,0.824616388108951
49,GFast,7519,1,6,0.8671583527245743
50,GFast,8755,1,7,0.6329389415893053
51,GFast,9991,1,8,0.6531250696905256
52,GFast,11227,1,9,0.6621102137360114
53,GFast,12463,1,10,0.795736348220821
54,GFast,13699,1,11,0.8034745648035376
55,GFast,14935,1,12,0.8107098718852225
56,GFast,16171,1,13,0.7403439784071213
57,GFast,17407,1,14,0.8127511121548572
58,GFast,18643,1,15,0.8575563731392298
59,GFast,19879,1,16,0.768767677816826
60,GFast,21115,1,17,0.7269445512079832
61,GFast,22351,1,18,0.7757279150037267
62,GFast,23587,1,19,0.7778368218952861
63,GFast,24823,1,20,0.7363674424782797
64,GFast,27633,2,5,0.6229815688301775
65,GFast,33069,2,6,0.7138327489602583
66,GFast,38505,2,7,0.6013995515214822
67,GFast,43941,2,8,0.615901906713202
68,GFast,49377,2,9,0.6233096054766596
69,GFast,54813,2,10,0.6598694201844146
70,GFast,60249,2,11,0.6935769041528265
71,GFast,65685,2,12,0.7005223897971673
72,GFast,71121,2,13,0.7192519390441368
73,GFast,76557,2,14,0.7542441828820955
74,GFast,81993,2,15,0.7449094230849471
75,GFast,87429,2,16,0.6330437249324791
76,GFast,92865,2,17,0.6000041079761654
77,GFast,98301,2,18,0.603515972087261
78,GFast,103737,2,19,0.603992268248133
79,GFast,109173,2,20,0.636117531899379
80,GFast,161894,3,5,0.5832813808218866
81,GFast,193742,3,6,0.5731286994098177
82,GFast,225590,3,7,0.4422757309384205
83,GFast,257438,3,8,0.4192826330763908
84,GFast,289286,3,9,0.4339306523227046
85,GFast,321134,3,10,0.4868303822458578
86,GFast,352982,3,11,0.515954060178171
87,GFast,384830,3,12,0.4930699378998489
88,GFast,416678,3,13,0.4954903034710455
89,GFast,448526,3,14,0.5334592868962055
90,GFast,480374,3,15,0.5145116280238772
91,GFast,512222,3,16,0.5181265033411208
92,GFast,544070,3,17,0.492287954095935
93,GFast,575918,3,18,0.49644826619155474
94,GFast,607766,3,19,0.49780649097027035
95,GFast,639614,3,20,0.5051685973739477
