,Removal,Iteration,Delta,Samples,NMSE,b,N,Computational Time (s)
0,uniform,0,0,"[2940, 10290, 43218, 252105, 1411788]","[1.0, 1.0, 1.0, 0.8790000000003143, 1.986981528890972e-13]","[1, 2, 3, 4, 5]",79792266297612001,"[0.022504568099975586, 0.0460209846496582, 0.12687897682189941, 3.460282325744629, 23.835163354873657]"
1,uniform,0,40,"[2100, 2100, 2100, 2100, 2100, 5250, 5250, 5250, 5250, 5250, 16275, 15750, 15750, 16275, 15750, 65625, 64575, 65625, 66150, 65625, 262500, 262500, 262500, 265125, 262500]","[1.0, 1.0, 1.0000000016050157, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.867000000000855, 0.8480000000010598, 0.7890000000015203, 0.8510000000010222, 0.7840000000013913, 8.169928366431279e-13, 7.948566587324368e-13, 7.311122470168912e-13, 7.498136064763707e-13, 8.807492995665322e-13]","[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5]",85449218750000,"[0.024109840393066406, 0.023961305618286133, 0.5014786720275879, 0.02343130111694336, 0.02367687225341797, 0.04590773582458496, 0.0470278263092041, 0.047197580337524414, 0.04669642448425293, 0.04659724235534668, 0.13477039337158203, 0.13524651527404785, 0.14038491249084473, 0.14213824272155762, 0.13611745834350586, 2.2464075088500977, 1.6032304763793945, 2.309591293334961, 1.9524755477905273, 3.59419584274292, 5.514976501464844, 5.4913489818573, 5.485255241394043, 5.681726455688477, 5.530595064163208]"
2,uniform,0,50,"[1890, 1890, 1890, 1890, 1890, 4200, 4284, 4284, 4221, 4263, 11424, 11823, 11844, 11424, 11424, 42000, 42756, 42756, 41748, 43260, 147840, 160860, 149520, 146832, 149520]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8670000000012189, 0.8480000000014163, 0.7890000000018917, 0.8510000000017416, 0.7840000000018315, 1.7623518676842132e-12, 1.0810727872346896e-12, 1.5559840134423917e-12, 1.7782843297037915e-12, 1.6485309385387023e-12]","[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5]",9175040000000,"[0.02408909797668457, 0.023491859436035156, 0.02369976043701172, 0.023462772369384766, 0.023871183395385742, 0.045534372329711914, 0.04795193672180176, 0.047246694564819336, 0.045764923095703125, 0.04711151123046875, 0.1398766040802002, 0.129439115524292, 0.13215041160583496, 0.13550615310668945, 0.13318371772766113, 2.0860953330993652, 1.4726591110229492, 2.1178786754608154, 1.79884672164917, 3.313180685043335, 3.6864888668060303, 3.917182207107544, 3.6894567012786865, 3.6508734226226807, 3.7013700008392334]"
3,uniform,0,60,"[1680, 1680, 1680, 1680, 1680, 3297, 3360, 3360, 3360, 3360, 8400, 8400, 8064, 8400, 8400, 25872, 25872, 26880, 26208, 26880, 81984, 87360, 87360, 83328, 86016]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8670000000021807, 0.848000000002401, 0.7890000000029748, 0.8510000000025156, 0.784000000003212, 2.8467036612023976e-12, 2.3111513356606127e-12, 2.4096795357653643e-12, 2.5060290779741205e-12, 2.4794008049275426e-12]","[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5]",811748818944,"[0.023460865020751953, 0.023166179656982422, 0.023096561431884766, 0.023513317108154297, 0.023584365844726562, 0.04500007629394531, 0.04592275619506836, 0.04566669464111328, 0.046010494232177734, 0.046166419982910156, 0.11481881141662598, 0.1147146224975586, 0.11079597473144531, 0.11589670181274414, 0.11536145210266113, 2.0020506381988525, 1.3989903926849365, 1.9891035556793213, 1.7028348445892334, 3.145209550857544, 2.717991352081299, 2.762404680252075, 2.750380039215088, 2.7190163135528564, 2.753774404525757]"
4,uniform,1,0,"[2940, 10290, 43218, 252105, 1411788]","[1.0, 1.0, 1.0, 0.8760000000003046, 1.9715774545322844e-13]","[1, 2, 3, 4, 5]",79792266297612001,"[0.02220773696899414, 0.04559326171875, 0.12586307525634766, 4.448594093322754, 23.872053861618042]"
5,uniform,1,40,"[2100, 2100, 2100, 2100, 2100, 5250, 5250, 5250, 5250, 5250, 16275, 15750, 15750, 16275, 15750, 65625, 64575, 65625, 66150, 65625, 262500, 262500, 262500, 265125, 262500]","[1.0, 1.0, 1.0000000016050157, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8350000000010268, 0.867000000000893, 0.8230000000011177, 0.8480000000009195, 0.8220000000011072, 8.618608228260992e-13, 7.552595171843542e-13, 7.525142649853897e-13, 7.797178906337892e-13, 9.28947063720341e-13]","[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5]",85449218750000,"[0.024349451065063477, 0.02376580238342285, 0.500058650970459, 0.023482084274291992, 0.023409605026245117, 0.045752763748168945, 0.04675602912902832, 0.04706907272338867, 0.04637002944946289, 0.04692792892456055, 0.13475275039672852, 0.1342449188232422, 0.14039111137390137, 0.14167070388793945, 0.13587474822998047, 1.941070318222046, 1.9022955894470215, 1.9648144245147705, 1.6235172748565674, 2.2832581996917725, 5.6309895515441895, 5.5517258644104, 5.501817941665649, 5.683091878890991, 5.52994441986084]"
6,uniform,1,50,"[1890, 1890, 1890, 1890, 1890, 4200, 4284, 4284, 4221, 4263, 11424, 11823, 11844, 11424, 11424, 42000, 42756, 42756, 41748, 43260, 147840, 160860, 149520, 146832, 149520]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.835000000001608, 0.8670000000011628, 0.8230000000013104, 0.8480000000017894, 0.8220000000013888, 1.5971688944531176e-12, 1.0553740668853187e-12, 1.4787797637149045e-12, 1.6823704965261293e-12, 1.7278626720741545e-12]","[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5]",9175040000000,"[0.024039030075073242, 0.023668289184570312, 0.023821353912353516, 0.02351212501525879, 0.024074316024780273, 0.044779300689697266, 0.04777216911315918, 0.04703474044799805, 0.04572153091430664, 0.04706406593322754, 0.1396799087524414, 0.12971758842468262, 0.13260984420776367, 0.13786768913269043, 0.13463330268859863, 1.8012547492980957, 1.7644948959350586, 1.8117985725402832, 1.4780199527740479, 2.1108622550964355, 3.6475372314453125, 3.9160735607147217, 3.6677205562591553, 3.641556739807129, 3.6950764656066895]"
7,uniform,1,60,"[1680, 1680, 1680, 1680, 1680, 3297, 3360, 3360, 3360, 3360, 8400, 8400, 8064, 8400, 8400, 25872, 25872, 26880, 26208, 26880, 81984, 87360, 87360, 83328, 86016]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8350000000027451, 0.8670000000021252, 0.8230000000023828, 0.8480000000027733, 0.82200000000239, 2.7188574478056604e-12, 2.3753691780099105e-12, 2.486565798933547e-12, 2.5198259908459766e-12, 2.7226834901423407e-12]","[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5]",811748818944,"[0.02379631996154785, 0.023365259170532227, 0.02323603630065918, 0.023432254791259766, 0.023249149322509766, 0.04453921318054199, 0.04523205757141113, 0.045195817947387695, 0.04517054557800293, 0.04548478126525879, 0.11379361152648926, 0.11307191848754883, 0.10930919647216797, 0.11363959312438965, 0.11350655555725098, 1.6858692169189453, 1.6697168350219727, 1.726128339767456, 1.4022440910339355, 1.9869120121002197, 2.6985230445861816, 2.7695820331573486, 2.744123697280884, 2.702434539794922, 2.7301383018493652]"
8,uniform,2,0,"[2940, 10290, 43218, 252105, 1411788]","[1.0, 1.0, 1.0, 0.8760000000003046, 1.9715774545322844e-13]","[1, 2, 3, 4, 5]",79792266297612001,"[0.02216029167175293, 0.04560446739196777, 0.12464356422424316, 4.441086530685425, 23.930058002471924]"
9,uniform,2,40,"[2100, 2100, 2100, 2100, 2100, 5250, 5250, 5250, 5250, 5250, 16275, 15750, 15750, 16275, 15750, 65625, 64575, 65625, 66150, 65625, 262500, 262500, 262500, 265125, 262500]","[1.0, 1.0, 1.0000000016050157, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8350000000010268, 0.867000000000893, 0.8230000000011177, 0.8480000000009195, 0.8220000000011072, 8.618608228260992e-13, 7.552595171843542e-13, 7.525142649853897e-13, 7.797178906337892e-13, 9.28947063720341e-13]","[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5]",85449218750000,"[0.024460792541503906, 0.024076461791992188, 0.5015099048614502, 0.02360987663269043, 0.02375054359436035, 0.04623103141784668, 0.04687142372131348, 0.04717588424682617, 0.0470583438873291, 0.04708671569824219, 0.13566255569458008, 0.13678884506225586, 0.1406538486480713, 0.14235305786132812, 0.13601446151733398, 1.9471261501312256, 1.913741111755371, 1.9801747798919678, 1.6196165084838867, 2.3022029399871826, 5.4930267333984375, 5.494938135147095, 5.483790874481201, 5.657695531845093, 5.5190629959106445]"
