,Removal,Iteration,Delta,Samples,NMSE,N,b,delays,Computational Time (s)
0,uniform,0,0,"[52920, 55860, 58800, 185220, 195510, 205800, 777924, 821142, 864360, 4537890, 4789995, 5042100, 25412184, 26823972, 28235760]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8790134319957784, 0.8790137770871239, 0.8790109701301252, 1.0069593206717171e-05, 9.717564116084776e-06, 9.60871836145233e-06]",79792266297612001,"[1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5]","[18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20]","[0.21136713027954102, 0.21756815910339355, 0.22674107551574707, 0.4067833423614502, 0.4268534183502197, 0.44404006004333496, 0.981351375579834, 1.0213658809661865, 1.0652568340301514, 19.500789880752563, 20.28406310081482, 21.174790143966675, 39.84177851676941, 40.840532302856445, 41.974589586257935]"
1,uniform,0,40,"[37800, 39900, 42000, 93744, 98952, 104160, 274050, 289275, 304500, 1156680, 1220940, 1285200, 4602150, 4857825, 5113500]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.882045950642632, 0.879039459342218, 0.8830423542166188, 5.548580566798284e-05, 5.303435374671521e-05, 4.867274206523148e-05]",85449218750000,"[1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5]","[18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20]","[0.20658564567565918, 0.21484684944152832, 0.22473549842834473, 0.3997013568878174, 0.41617655754089355, 0.4347841739654541, 1.0051300525665283, 1.049269199371338, 1.101891040802002, 17.869442224502563, 18.730604648590088, 19.569971323013306, 20.155198335647583, 20.955493211746216, 21.805512189865112]"
2,uniform,0,50,"[34020, 35910, 37800, 76734, 80997, 85260, 197316, 208278, 219240, 788130, 831915, 875700, 2850498, 3008859, 3167220]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8900535838002361, 0.9000482716940351, 0.8980504189775658, 6.164781143184602e-05, 0.006057028772893704, 6.0060048617487726e-05]",9175040000000,"[1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5]","[18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20]","[0.20396709442138672, 0.2123565673828125, 0.2224714756011963, 0.44675755500793457, 0.4611234664916992, 0.48738956451416016, 1.0816802978515625, 1.131014108657837, 1.1833345890045166, 19.837592124938965, 17.541696071624756, 18.326359748840332, 49.47585582733154, 58.78409194946289, 53.842551946640015]"
3,uniform,0,60,"[30240, 31920, 33600, 59724, 63042, 66360, 134568, 142044, 149520, 458514, 483987, 509460, 1446984, 1527372, 1607760]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8991119165957664, 0.8830891250940647, 0.8970816175168526, 0.0001796782850644107, 0.00016909608003638798, 0.0001515394310356954]",811748818944,"[1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5]","[18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20]","[0.20545411109924316, 0.2120227813720703, 0.22164201736450195, 0.39002394676208496, 0.40921998023986816, 0.42683887481689453, 0.8833847045898438, 0.917513370513916, 0.9577851295471191, 17.425631761550903, 18.256382942199707, 19.11568808555603, 17.212828159332275, 17.925203561782837, 18.870410919189453]"
4,uniform,1,0,"[52920, 55860, 58800, 185220, 195510, 205800, 777924, 821142, 864360, 4537890, 4789995, 5042100, 25412184, 26823972, 28235760]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9060106609172994, 0.90601113782733, 0.9060090694723819, 1.1094936643963879e-05, 9.825388306838722e-06, 9.752947078439022e-06]",79792266297612001,"[1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5]","[18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20]","[0.20605802536010742, 0.21460747718811035, 0.22696208953857422, 0.40654683113098145, 0.4253387451171875, 0.4452672004699707, 0.9776129722595215, 1.0271055698394775, 1.069993495941162, 13.54118537902832, 14.146395683288574, 14.712002992630005, 40.32390809059143, 40.76332139968872, 42.02716135978699]"
5,uniform,1,40,"[37800, 39900, 42000, 93744, 98952, 104160, 274050, 289275, 304500, 1156680, 1220940, 1285200, 4602150, 4857825, 5113500]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9080308833107045, 0.9120377160997839, 0.914030703827575, 5.6960374316539485e-05, 5.658778051416157e-05, 5.0158032831599916e-05]",85449218750000,"[1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5]","[18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20]","[0.20581722259521484, 0.21541500091552734, 0.22470664978027344, 0.3969123363494873, 0.4144620895385742, 0.4340803623199463, 1.0226716995239258, 1.0600666999816895, 1.0970261096954346, 12.535951852798462, 13.067891359329224, 13.623438596725464, 20.325634956359863, 21.086899280548096, 21.969385385513306]"
6,uniform,1,50,"[34020, 35910, 37800, 76734, 80997, 85260, 197316, 208278, 219240, 788130, 831915, 875700, 2850498, 3008859, 3167220]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9110490647816075, 0.9130544800828848, 0.920039354886139, 5.9276978059859596e-05, 0.010058990196265357, 5.920756034629358e-05]",9175040000000,"[1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5]","[18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20]","[0.20484471321105957, 0.2122633457183838, 0.22246098518371582, 0.44616222381591797, 0.4584512710571289, 0.48531174659729004, 1.0806639194488525, 1.129469633102417, 1.18623685836792, 13.653003454208374, 14.274234533309937, 14.859821557998657, 49.547542095184326, 59.058507680892944, 54.083109617233276]"
7,uniform,1,60,"[30240, 31920, 33600, 59724, 63042, 66360, 134568, 142044, 149520, 458514, 483987, 509460, 1446984, 1527372, 1607760]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9180803182413539, 0.9120884006599056, 0.9180696377829896, 0.00018013582573512293, 0.00017278983298380117, 0.00015500318907023426]",811748818944,"[1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5]","[18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20]","[0.20582962036132812, 0.21324586868286133, 0.2224256992340088, 0.3898744583129883, 0.41129374504089355, 0.4280722141265869, 0.8824336528778076, 0.921217679977417, 0.9757091999053955, 12.140243291854858, 12.659161806106567, 13.205708503723145, 17.439356565475464, 18.170830965042114, 19.04620599746704]"
8,uniform,2,0,"[52920, 55860, 58800, 185220, 195510, 205800, 777924, 821142, 864360, 4537890, 4789995, 5042100, 25412184, 26823972, 28235760]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9060106609172994, 0.90601113782733, 0.9060090694723819, 1.1094936643963879e-05, 9.825388306838722e-06, 9.752947078439022e-06]",79792266297612001,"[1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5]","[18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20]","[0.20549368858337402, 0.2170708179473877, 0.22585058212280273, 0.4065244197845459, 0.4277381896972656, 0.44595885276794434, 0.9787561893463135, 1.021345853805542, 1.0703766345977783, 13.56965684890747, 14.125721216201782, 14.718204259872437, 40.026947021484375, 41.09122967720032, 42.05613327026367]"
9,uniform,2,40,"[37800, 39900, 42000, 93744, 98952, 104160, 274050, 289275, 304500, 1156680, 1220940, 1285200, 4602150, 4857825, 5113500]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9080308833107045, 0.9120377160997839, 0.914030703827575, 5.6960374316539485e-05, 5.658778051416157e-05, 5.0158032831599916e-05]",85449218750000,"[1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 5, 5, 5]","[18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20, 18, 19, 20]","[0.2048039436340332, 0.214003324508667, 0.22485065460205078, 0.39827561378479004, 0.4143686294555664, 0.4337043762207031, 1.002288579940796, 1.0504858493804932, 1.0951008796691895, 12.514629125595093, 13.103279113769531, 13.648513317108154, 20.466453075408936, 21.060511589050293, 21.93887209892273]"
