,Method,Samples,b,d,nmse
0,GFast,598,1,1,2.661596255489363
1,GFast,1150,1,2,0.4581746519634091
2,GFast,1702,1,3,0.9253446425124573
3,GFast,2254,1,4,0.6323615650650097
4,GFast,2806,1,5,0.8678348412835508
5,GFast,3358,1,6,0.7144929974840947
6,GFast,3910,1,7,0.6580071192072494
7,GFast,4462,1,8,0.7760391071559739
8,GFast,5014,1,9,0.7605645314950487
9,GFast,5566,1,10,0.7554527787445291
10,GFast,6118,1,11,0.7055782937806842
11,GFast,6670,1,12,0.79795555650775
12,GFast,1040,2,1,0.9494264658650575
13,GFast,2000,2,2,0.6038813301609077
14,GFast,2960,2,3,0.6270198892497824
15,GFast,3920,2,4,0.7240605664549967
16,GFast,4880,2,5,0.6024734243234968
17,GFast,5840,2,6,0.5619652755052976
18,GFast,6800,2,7,0.6544943188754466
19,GFast,7760,2,8,0.7448314432620523
20,GFast,8720,2,9,0.472946614613276
21,GFast,9680,2,10,0.6223040235668804
22,GFast,10640,2,11,0.5257946837550719
23,GFast,11600,2,12,0.5064380472826264
24,GFast,2535,3,1,0.6083097308809243
25,GFast,4875,3,2,0.536536555368821
26,GFast,7215,3,3,0.5936543045679477
27,GFast,9555,3,4,0.5227493499874443
28,GFast,11895,3,5,0.46667754502244985
29,GFast,14235,3,6,0.5085106709466255
30,GFast,16575,3,7,0.5278315346048339
31,GFast,18915,3,8,0.6385544372849536
32,GFast,21255,3,9,0.4268805026008898
33,GFast,23595,3,10,0.46467585605647005
34,GFast,25935,3,11,0.4524692495218845
35,GFast,28275,3,12,0.3727616794110195
36,q-SFT,450,1,1,0.7572152645727694
37,q-SFT,2592,1,2,0.5667756828292055
38,q-SFT,7344,1,3,0.5274241016328003
39,q-SFT,9351,1,4,0.7337212242464277
40,q-SFT,12438,1,5,0.6714693957728144
41,q-SFT,26748,1,6,0.5736906185138801
42,q-SFT,50427,1,7,0.568404321311813
43,q-SFT,38988,1,8,0.5539402539300124
44,q-SFT,57834,1,9,0.6652557499258889
45,q-SFT,119925,1,10,0.680895878261891
46,q-SFT,67086,1,11,0.5610859365251611
47,q-SFT,171009,1,12,0.5600462129301852
48,q-SFT,3600,2,1,0.6383135087570072
49,q-SFT,12105,2,2,0.4083128685048456
50,q-SFT,29070,2,3,0.7364759228930273
51,q-SFT,22770,2,4,0.7070790462427812
52,q-SFT,129690,2,5,0.5087359137303786
53,q-SFT,148005,2,6,0.5624563223883501
54,q-SFT,460530,2,7,0.5681027834523059
55,q-SFT,309015,2,8,0.5554971964987427
56,q-SFT,322155,2,9,0.5001920033409426
57,q-SFT,238320,2,10,0.5570269119031817
58,q-SFT,373050,2,11,0.4173529894291438
59,q-SFT,558360,2,12,0.5667216838775747
60,q-SFT,49920,3,1,0.4508036420208333
61,q-SFT,41920,3,2,0.524432725058068
62,q-SFT,242240,3,3,0.43652691200977045
63,q-SFT,646080,3,4,0.45836259017395226
64,q-SFT,450240,3,5,0.7229521015208836
65,q-SFT,490240,3,6,0.5314485856513267
66,q-SFT,954240,3,7,0.5407568207737911
67,q-SFT,591360,3,8,0.5096074118069016
68,q-SFT,1254080,3,9,0.5718061101382047
69,q-SFT,816960,3,10,0.5688942057252171
70,q-SFT,1362560,3,11,0.42277932068684576
71,q-SFT,1747840,3,12,0.39592501328198737
